,date,country,which_device,medium_grouped,which_page_altered,sessions,funnel_sessions,par
0,20180301,(not set),mobile_web,affiliate,homepage,2,1,0.5
1,20180301,(not set),mobile_web,cpc,landingpage,1,1,1.0
2,20180301,(not set),mobile_web,organic,homepage,3,3,1.0
3,20180301,(not set),mobile_web,organic,landingpage,2,2,1.0
4,20180301,(not set),windows,affiliate,homepage,5,0,0.0
5,20180301,(not set),windows,affiliate,landingpage,1,0,0.0
6,20180301,(not set),windows,affiliate,others,1,0,0.0
7,20180301,(not set),windows,cpc,homepage,5,3,0.6
8,20180301,(not set),windows,direct,homepage,9,6,0.6666666666666666
9,20180301,(not set),windows,email,homepage,1,1,1.0
10,20180301,(not set),windows,organic,homepage,13,11,0.8461538461538461
11,20180301,(not set),windows,organic,landingpage,11,8,0.7272727272727273
12,20180301,(not set),windows,referral,homepage,3,1,0.3333333333333333
13,20180301,Albania,mobile_web,b2b,homepage,2,1,0.5
14,20180301,Albania,mobile_web,organic,homepage,4,3,0.75
15,20180301,Albania,windows,direct,homepage,2,1,0.5
16,20180301,Albania,windows,organic,homepage,3,0,0.0
17,20180301,Albania,windows,referral,homepage,1,1,1.0
18,20180301,Algeria,mobile_web,direct,homepage,1,0,0.0
19,20180301,Algeria,mobile_web,direct,landingpage,2,1,0.5
20,20180301,Algeria,mobile_web,organic,homepage,5,2,0.4
21,20180301,Algeria,mobile_web,organic,landingpage,6,4,0.6666666666666666
22,20180301,Algeria,windows,affiliate,homepage,1,0,0.0
23,20180301,Algeria,windows,b2b,homepage,1,1,1.0
24,20180301,Algeria,windows,direct,homepage,1,1,1.0
25,20180301,Algeria,windows,email,homepage,1,1,1.0
26,20180301,Algeria,windows,organic,homepage,2,2,1.0
27,20180301,Algeria,windows,referral,homepage,1,1,1.0
28,20180301,Andorra,mobile_web,affiliate,homepage,1,0,0.0
29,20180301,Andorra,mobile_web,organic,homepage,1,1,1.0
30,20180301,Andorra,mobile_web,organic,landingpage,2,2,1.0
31,20180301,Andorra,windows,organic,homepage,1,0,0.0
32,20180301,Angola,mobile_web,organic,homepage,1,1,1.0
33,20180301,Angola,mobile_web,organic,landingpage,1,1,1.0
34,20180301,Angola,windows,direct,homepage,1,1,1.0
35,20180301,Angola,windows,organic,homepage,1,0,0.0
36,20180301,Angola,windows,organic,landingpage,2,1,0.5
37,20180301,Argentina,mobile_web,affiliate,homepage,1,0,0.0
38,20180301,Argentina,mobile_web,affiliate,landingpage,1,0,0.0
39,20180301,Argentina,mobile_web,b2b,homepage,1,0,0.0
40,20180301,Argentina,mobile_web,b2b,landingpage,2,0,0.0
41,20180301,Argentina,mobile_web,b2bwidgets,homepage,1,1,1.0
42,20180301,Argentina,mobile_web,cpc,homepage,5,3,0.6
43,20180301,Argentina,mobile_web,direct,homepage,15,6,0.4
44,20180301,Argentina,mobile_web,direct,landingpage,1,1,1.0
